title,url,raw_price,description
"Škoda Fabia,
1.0, Ambition, Serv.kniha",https://www.sauto.cz/osobni/detail/skoda/fabia/209864295,330 000 Kč,"2022, 18 455 km, Benzín, Manuální"
"Škoda Fabia,
1.0, Ambition, Serv.kniha",https://www.sauto.cz/osobni/detail/skoda/fabia/209864295,330 000 Kč,"2022, 18 455 km, Benzín, Manuální"
"Škoda Fabia,
1.0, Ambition, Serv.kniha",https://www.sauto.cz/osobni/detail/skoda/fabia/209864295,330 000 Kč,"2022, 18 455 km, Benzín, Manuální"
"Škoda Fabia,
1.0, Ambition, Serv.kniha",https://www.sauto.cz/osobni/detail/skoda/fabia/209864295,330 000 Kč,"2022, 18 455 km, Benzín, Manuální"
"Tesla Model 3,
Long Range 4WD 74kWh, SoH 91%",https://www.sauto.cz/osobni/detail/tesla/model-3/209863938,540 000 Kč,"2020, 146 589 km, Elektro, Automatická"
"Tesla Model 3,
Long Range 4WD 74kWh, SoH 91%",https://www.sauto.cz/osobni/detail/tesla/model-3/209863938,540 000 Kč,"2020, 146 589 km, Elektro, Automatická"
"Tesla Model 3,
Long Range 4WD 74kWh, SoH 91%",https://www.sauto.cz/osobni/detail/tesla/model-3/209863938,540 000 Kč,"2020, 146 589 km, Elektro, Automatická"
"BMW X3,
xDrive20i, M Sport",https://www.sauto.cz/osobni/detail/bmw/x3/209854533,1 000 000 Kč,"2022, 51 653 km, Benzín, Automatická"
"BMW X3,
xDrive20i, M Sport",https://www.sauto.cz/osobni/detail/bmw/x3/209854533,1 000 000 Kč,"2022, 51 653 km, Benzín, Automatická"
"BMW X3,
xDrive20i, M Sport",https://www.sauto.cz/osobni/detail/bmw/x3/209854533,1 000 000 Kč,"2022, 51 653 km, Benzín, Automatická"
"BMW X1,
sDrive18d",https://www.sauto.cz/osobni/detail/bmw/x1/209827656,830 000 Kč,"2023, 40 122 km, Nafta, Automatická"
"BMW X1,
sDrive18d",https://www.sauto.cz/osobni/detail/bmw/x1/209827656,830 000 Kč,"2023, 40 122 km, Nafta, Automatická"
"BMW X1,
sDrive18d",https://www.sauto.cz/osobni/detail/bmw/x1/209827656,830 000 Kč,"2023, 40 122 km, Nafta, Automatická"
"Hyundai Tucson,
2.0 CRDi, 4X4, Automat",https://www.sauto.cz/osobni/detail/hyundai/tucson/209824677,440 000 Kč,"2019, 158 365 km, Nafta, Automatická"
"Hyundai Tucson,
2.0 CRDi, 4X4, Automat",https://www.sauto.cz/osobni/detail/hyundai/tucson/209824677,440 000 Kč,"2019, 158 365 km, Nafta, Automatická"
"Hyundai Tucson,
2.0 CRDi, 4X4, Automat",https://www.sauto.cz/osobni/detail/hyundai/tucson/209824677,440 000 Kč,"2019, 158 365 km, Nafta, Automatická"
"Mercedes-Benz GLC,
220 d 4MATIC, AMG Line",https://www.sauto.cz/osobni/detail/mercedes-benz/glc/209804385,1 400 000 Kč,"2024, 24 196 km, Nafta, Automatická"
