title,url,raw_price,description,price,year,mileage,fuel,transmission,brand
"Škoda Fabia,
1.0, Ambition, Serv.kniha",https://www.sauto.cz/osobni/detail/skoda/fabia/209864295,330 000 Kč,"2022, 18 455 km, Benzín, Manuální",330000.0,2022.0,18455.0,Benzín,Manuální,Škoda
"Tesla Model 3,
Long Range 4WD 74kWh, SoH 91%",https://www.sauto.cz/osobni/detail/tesla/model-3/209863938,540 000 Kč,"2020, 146 589 km, Elektro, Automatická",540000.0,2020.0,146589.0,Elektro,Automatická,Tesla
"BMW X3,
xDrive20i, M Sport",https://www.sauto.cz/osobni/detail/bmw/x3/209854533,1 000 000 Kč,"2022, 51 653 km, Benzín, Automatická",1000000.0,2022.0,51653.0,Benzín,Automatická,BMW
"BMW X1,
sDrive18d",https://www.sauto.cz/osobni/detail/bmw/x1/209827656,830 000 Kč,"2023, 40 122 km, Nafta, Automatická",830000.0,2023.0,40122.0,Nafta,Automatická,BMW
"Hyundai Tucson,
2.0 CRDi, 4X4, Automat",https://www.sauto.cz/osobni/detail/hyundai/tucson/209824677,440 000 Kč,"2019, 158 365 km, Nafta, Automatická",440000.0,2019.0,158365.0,Nafta,Automatická,Hyundai
"Mercedes-Benz GLC,
220 d 4MATIC, AMG Line",https://www.sauto.cz/osobni/detail/mercedes-benz/glc/209804385,1 400 000 Kč,"2024, 24 196 km, Nafta, Automatická",1400000.0,2024.0,24196.0,Nafta,Automatická,Mercedes-Benz
"Ford Kuga,
1.5 EcoBoost, ST-Line X, ČR",https://www.sauto.cz/osobni/detail/ford/kuga/209802570,640 000 Kč,"2025, 11 258 km, Benzín, Manuální",640000.0,2025.0,11258.0,Benzín,Manuální,Ford
"Škoda Fabia,
1.0 TSI, Serv.kniha",https://www.sauto.cz/osobni/detail/skoda/fabia/209792583,240 000 Kč,"2020, 137 027 km, Benzín, Manuální",240000.0,2020.0,137027.0,Benzín,Manuální,Škoda
"Škoda Fabia,
1.0, Serv.kniha, Klima",https://www.sauto.cz/osobni/detail/skoda/fabia/209789841,175 000 Kč,"2016, 72 345 km, Benzín, Manuální",175000.0,2016.0,72345.0,Benzín,Manuální,Škoda
"Audi A7,
50 TDI",https://www.sauto.cz/osobni/detail/audi/a7/209780337,1 000 000 Kč,"2019, 91 285 km, Nafta, Automatická",1000000.0,2019.0,91285.0,Nafta,Automatická,Audi
"Škoda Scala,
1.0 TSI, Drive, Drive, FullLed",https://www.sauto.cz/osobni/detail/skoda/scala/209763780,450 000 Kč,"2025, 29 509 km, Benzín, Manuální",450000.0,2025.0,29509.0,Benzín,Manuální,Škoda
"BMW X5,
xDrive40i, M Paket",https://www.sauto.cz/osobni/detail/bmw/x5/209752938,1 230 000 Kč,"2021, 59 721 km, Benzín, Automatická",1230000.0,2021.0,59721.0,Benzín,Automatická,BMW
"Audi Q8,
55 TFSI, S-Line",https://www.sauto.cz/osobni/detail/audi/q8/209734137,1 500 000 Kč,"2023, 58 017 km, Benzín, Automatická",1500000.0,2023.0,58017.0,Benzín,Automatická,Audi
"Škoda Superb,
2.0 TDI, Selection, ACC, Tažné",https://www.sauto.cz/osobni/detail/skoda/superb/209721669,900 000 Kč,"2024, 19 905 km, Nafta, Automatická",900000.0,2024.0,19905.0,Nafta,Automatická,Škoda
"Mini Countryman,
JCW All4, Navigace",https://www.sauto.cz/osobni/detail/mini/countryman/209721612,1 100 000 Kč,"2025, 12 950 km, Benzín, Automatická",1100000.0,2025.0,12950.0,Benzín,Automatická,Mini
"Volkswagen Golf,
2.0 TDI Alltrack, 4X4",https://www.sauto.cz/osobni/detail/volkswagen/golf/209710743,300 000 Kč,"2015, 184 287 km, Nafta, Automatická",300000.0,2015.0,184287.0,Nafta,Automatická,Volkswagen
"Mercedes-Benz GLC,
300 d 4MATIC, DPH, AMG Line",https://www.sauto.cz/osobni/detail/mercedes-benz/glc/209662617,1 380 000 Kč,"2023, 18 676 km, Nafta, Automatická",1380000.0,2023.0,18676.0,Nafta,Automatická,Mercedes-Benz
